Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (11),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (7),Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (8)
241.91,55,195,0.2068,86,33,18,54,24,65,0,0,2,0,86,0,2,0,0,0,0,0
242.94,55,195,0.1977,86,33,18,54,24,65,0,0,2,0,86,0,0,0,0,0,0,0
244.02,55,195,0.2189,86,33,18,54,24,65,0,0,0,0,86,0,0,0,0,0,0,0
245.08,55,195,0.2193,86,33,18,54,24,65,0,0,0,0,86,0,0,0,0,0,0,0
246.09,55,195,0.2157,86,33,18,54,24,65,0,0,2,0,86,0,0,0,0,0,0,0
247.19,55,195,0.2183,86,33,18,54,25,64,0,0,0,0,86,0,0,0,0,2,0,0
248.21,56,194,0.2140,88,33,18,53,25,64,0,0,0,0,88,0,0,0,0,0,0,0
249.22,56,194,0.2213,88,33,18,53,25,64,0,0,0,0,88,0,0,0,0,0,0,0
250.26,57,193,0.2110,90,33,18,53,25,63,0,0,0,0,90,0,0,0,0,0,0,0
251.39,58,192,0.2084,90,33,18,53,25,62,0,0,0,0,90,0,2,0,0,0,0,0
252.47,58,192,0.2119,90,33,18,53,25,62,0,0,4,0,90,0,2,0,0,0,0,0
253.50,59,191,0.2237,90,33,17,53,25,62,2,0,2,0,90,0,0,0,0,0,0,0
254.58,59,191,0.2375,90,33,17,53,25,62,2,0,0,0,90,0,0,0,0,2,0,0
255.69,59,191,0.2369,90,33,17,53,25,62,2,0,0,0,90,0,0,0,0,2,0,0
256.77,59,191,0.2400,90,33,17,53,25,62,2,0,0,0,90,2,0,0,0,0,0,0
258.15,59,191,0.2630,90,32,18,53,25,62,0,0,0,2,90,2,0,0,0,0,0,0
259.27,59,191,0.2797,90,32,18,53,25,62,0,0,0,2,90,2,0,0,0,0,0,0
260.35,59,191,0.2754,90,32,18,53,25,62,0,0,0,0,90,2,0,0,0,0,0,0
261.42,59,191,0.2883,90,32,18,53,25,62,0,0,0,0,90,2,0,0,0,0,0,0
262.52,59,191,0.2771,90,32,18,53,25,62,0,0,0,0,90,0,0,0,0,0,0,2
263.60,60,190,0.2803,90,32,18,53,24,62,0,0,0,0,90,0,0,0,0,0,0,0
264.67,60,190,0.2631,90,32,18,53,24,62,0,0,0,0,90,0,0,0,0,0,0,0
265.71,60,190,0.2761,90,32,18,53,24,62,0,0,0,0,90,0,0,0,0,0,0,0
266.76,61,189,0.2755,90,32,18,53,24,61,0,0,0,0,90,0,0,0,0,0,0,0
267.81,61,189,0.3171,90,32,18,53,24,61,0,0,0,0,90,0,0,0,0,0,0,0
268.86,61,189,0.2785,90,32,18,53,24,61,0,0,0,0,90,0,0,0,0,0,0,0
269.89,61,189,0.2760,90,32,18,53,24,61,0,0,0,0,90,0,0,0,0,0,0,0
270.96,61,189,0.2795,90,32,18,53,24,61,0,0,0,0,90,0,0,0,0,0,0,2
272.00,62,188,0.2724,90,32,18,53,23,61,0,0,0,0,90,0,0,0,0,0,0,0
273.04,63,187,0.2925,90,32,18,53,22,61,0,0,0,0,90,0,0,0,0,0,0,0
274.11,64,186,0.2807,90,32,18,53,22,60,0,0,0,0,90,0,0,0,0,0,0,0
275.19,65,185,0.2890,90,32,17,52,22,60,2,0,0,0,90,0,0,0,0,0,0,0
276.23,65,185,0.2855,90,32,17,52,22,60,2,0,0,0,90,0,0,0,0,0,0,0
277.24,66,184,0.2963,90,32,17,52,21,60,2,0,0,0,90,0,0,0,0,0,0,0
278.33,66,184,0.3129,90,32,17,52,21,60,2,0,0,0,90,0,0,0,0,0,0,0
279.40,66,184,0.3009,90,32,17,52,21,60,0,0,2,0,90,0,0,2,0,0,0,0
